Plot,PC1,PC2,PC3,,plotStatus
255,-5.62295761,-0.977541981,-0.18738076,,Moderately Invaded
256,-5.413878943,-0.065028875,0.012125813,,Moderately Invaded
257,-4.526877825,0.344425736,0.037521848,,Moderately Invaded
258,-6.688011016,-0.406201858,-0.17220147,,Moderately Invaded
259,-6.644628266,-0.310231512,-0.173708591,,Moderately Invaded
260,-6.918360401,-0.412762397,-0.191782769,,Moderately Invaded
261,-6.043102141,-0.257311513,-0.080018565,,Moderately Invaded
262,-4.559710503,0.125722996,0.175656425,,Moderately Invaded
263,-4.767106906,0.098482924,-0.102277018,,Moderately Invaded
264,-4.655746144,0.277170456,-0.124631304,,Moderately Invaded
265,-6.332284172,-0.377480385,-0.236546157,,Moderately Invaded
266,-6.377377188,-0.404848166,-0.085769863,,Moderately Invaded
267,-6.110141022,-0.394097182,-0.165074918,,Moderately Invaded
268,-6.18907948,-0.437509887,-0.233786758,,Moderately Invaded
269,-5.786003748,-0.208553705,-0.30550514,,Moderately Invaded
270,-5.931560669,-0.184692201,-0.301202249,,Moderately Invaded
271,-5.657698601,-0.165054064,-0.342784366,,Moderately Invaded
272,-5.885537611,-0.231085901,-0.352947502,,Moderately Invaded
273,-6.130770249,-0.34879941,-0.343404875,,Moderately Invaded
274,-6.121238191,-0.262264947,-0.283117581,,Moderately Invaded
275,3.811752888,1.409991508,0.200906151,,Moderately Invaded
276,4.023260254,1.989959584,0.171273412,,Moderately Invaded
277,7.683307936,-2.772356118,9.200252595,,Moderately Invaded
278,9.519964744,2.554269768,-0.296339087,,Moderately Invaded
279,-4.562631154,0.504391747,-0.189685751,,Moderately Invaded
280,-3.620591099,1.006026474,0.114955815,,Moderately Invaded
281,-2.132096979,1.448180432,0.225446252,,Moderately Invaded
282,-2.424014108,1.349956285,0.251439975,,Moderately Invaded
283,-3.48288601,0.974507206,0.051007975,,Moderately Invaded
284,-2.797431926,1.274796688,0.310011634,,Moderately Invaded
285,-2.548945209,1.439426277,0.241048173,,Moderately Invaded
286,-2.824185639,1.237838974,0.196019547,,Moderately Invaded
287,-2.983361657,-1.370106161,0.850106783,,Moderately Invaded
288,-1.837776318,-0.900374977,0.86743144,,Moderately Invaded
289,7.105718141,1.611679389,-0.768911442,,Not Invaded
290,4.355877697,1.646717549,0.226599514,,Not Invaded
291,4.335459345,-4.428818663,-1.053304168,,Not Invaded
292,6.556364177,1.497661847,-0.835992653,,Not Invaded
293,6.285945556,1.792804877,-0.162667689,,Not Invaded
294,4.280852495,-4.212326673,-0.774745657,,Not Invaded
295,6.965993258,1.961155942,0.392087427,,Not Invaded
296,3.617198468,-2.978371343,-1.202134279,,Not Invaded
297,6.273375894,1.955462985,-1.319446541,,Not Invaded
298,6.322985056,1.993575161,-0.532116578,,Not Invaded
299,4.739373224,-5.15920463,-1.387042737,,Not Invaded
300,-2.884051395,0.690768927,-0.283269761,,Not Invaded
301,-1.746913237,1.017162204,-0.426265475,,Not Invaded
302,3.847071371,-5.642037959,5.254378459,,Not Invaded
303,-2.674407914,0.9578338,-0.153754182,,Not Invaded
304,6.600522822,2.017578027,-0.758546576,,Not Invaded
305,4.159943286,2.294743681,0.246624086,,Not Invaded
306,9.433012062,2.045358502,1.56920042,,Not Invaded
307,-0.454900697,2.317524329,0.747852501,,Not Invaded
308,1.433372856,2.911145728,1.007517703,,Not Invaded
309,3.561749051,-0.097311653,10.03050691,,Not Invaded
310,-2.04944609,1.272382747,-0.02037322,,Not Invaded
311,2.635340669,-1.729053942,-1.560614233,,Not Invaded
312,2.386385107,1.573687198,-0.048327641,,Not Invaded
313,-0.962529439,-0.556270752,-0.620580191,,Not Invaded
314,3.458288155,1.994914683,0.104252142,,Not Invaded
315,2.665329435,-1.603298157,-1.123169086,,Not Invaded
316,1.299042646,1.299766596,-0.538658359,,Not Invaded
317,3.971108914,-2.400940334,-2.045793274,,Not Invaded
318,-1.307429449,1.193600801,-0.010995736,,Not Invaded
319,-3.251252065,-0.19791894,-0.366387237,,Not Invaded
320,3.826889012,-5.38394935,-0.398293793,,Not Invaded
321,-1.975522049,1.408239494,0.209884498,,Not Invaded
322,3.311815095,-4.791873197,-0.220481523,,Not Invaded
323,-1.327557255,1.139417911,-0.386095974,,Not Invaded
324,7.846913426,-4.525542219,-1.280281996,,Not Invaded
325,-0.94614221,-1.739424821,-0.384517722,,Not Invaded
326,6.51652113,-6.85468499,-0.381820202,,Not Invaded
327,-0.807820761,-2.70671606,-1.354331513,,Not Invaded
328,1.43020603,-2.924144591,-1.850100202,,Not Invaded
329,3.471090621,-2.779500731,-1.677685342,,Not Invaded
330,-3.680209145,-0.549658404,-0.219090581,,Not Invaded
331,-3.663250188,-0.800204216,-0.304624381,,Not Invaded
332,1.573771508,1.152218829,-0.607774911,,Not Invaded
333,1.129127552,-1.233720203,-0.920824937,,Not Invaded
334,-3.929403208,0.43918705,-0.264659089,,Not Invaded
335,-0.066727783,1.299648681,-0.348230544,,Not Invaded
336,-2.828048802,0.890503582,-0.090458745,,Not Invaded
337,1.900760879,-1.538174103,-0.429572869,,Not Invaded
338,-2.343929749,-1.556917637,0.820345449,,Not Invaded
339,-2.108213031,-0.118096434,0.54256577,,Not Invaded
340,-2.600055094,0.519051164,-0.372312146,,Not Invaded
341,-2.24121089,0.953925322,-0.256482107,,Not Invaded
342,1.70795154,-1.634121954,-1.533265213,,Not Invaded
